Asset,Category,CurrentValue,RelativeStrength,MacroScore,Boost,OpportunityScore
Gold,Precious/Industrial Metals,4460.78,8.4,6,1.25,8.21
Copper,Precious/Industrial Metals,12528.7095,9.44,6,0.75,8.13
Silver,Precious/Industrial Metals,73.5305,4.31,6,2.75,8.07
Dow Jones,Equity,50687.07,10.83,6,0.0,7.93
Tin,Precious/Industrial Metals,47323.6818,10.76,6,0.0,7.9
Soybeans,Agriculture,406.4396,6.01,6,1.75,7.75
NASDAQ,Equity,27093.9,10.21,6,0.0,7.68
Nickel,Precious/Industrial Metals,17076.2927,9.75,6,0.0,7.5
WTI Crude,Energy,95.96,4.57,6,2.0,7.43
S&P 500,Equity,7553.68,8.93,6,0.0,7.17
Coffee,Agriculture,334.1118,5.81,6,1.0,6.92
Aluminum,Precious/Industrial Metals,3372.9527,8.12,6,0.0,6.85
Zinc,Precious/Industrial Metals,3182.2609,8.07,6,0.0,6.83
Platinum,Precious/Industrial Metals,1879.25,7.54,6,0.0,6.62
Lead,Precious/Industrial Metals,1878.1941,7.54,6,0.0,6.62
KRW/USD,Forex,1503.96,7.32,6,0.0,6.53
Palladium,Precious/Industrial Metals,1320.741,7.19,6,0.0,6.48
Rice,Agriculture,394.0,5.98,6,0.0,5.99
Beef,Livestock,341.7424,5.84,6,0.0,5.94
Inflation,Macro,332.407,5.81,6,0.0,5.92
Corn,Agriculture,213.3041,5.37,6,0.0,5.75
Wheat,Agriculture,193.8771,5.27,6,0.0,5.71
JPY/USD,Forex,159.23,5.08,6,0.0,5.63
USD/JPY,Macro,159.23,5.08,6,0.0,5.63
US Dollar Index,Forex,118.8783,4.79,6,0.0,5.52
Barley,Agriculture,117.8867,4.78,6,0.0,5.51
USD/INR,Forex,95.0,4.56,6,0.0,5.42
USD/INR,Forex,95.0,4.56,6,0.0,5.42
Pork,Livestock,84.6365,4.45,6,0.0,5.38
Cotton,Agriculture,76.9386,4.36,6,0.0,5.34
Sugar,Agriculture,33.4045,3.54,6,0.0,5.02
VIX,Macro,15.77,2.82,6,0.0,4.73
USD/CNY,Macro,6.7662,2.05,6,0.0,4.42
30Y Treasury,Fixed Income,4.97,1.79,6,0.0,4.32
10Y Treasury,Fixed Income,4.46,1.7,6,0.0,4.28
Unemployment,Macro,4.3,1.67,6,0.0,4.27
2Y Treasury,Fixed Income,4.05,1.62,6,0.0,4.25
Fed Funds,Macro,3.63,1.53,6,0.0,4.21
Natural Gas,Energy,3.07,1.4,6,0.0,4.16
CAD/USD,Forex,1.3784,0.87,6,0.0,3.95
GBP/USD,Forex,1.3476,0.85,6,0.0,3.94
GBP/USD,Forex,1.3476,0.85,6,0.0,3.94
EUR/USD,Forex,1.1679,0.77,6,0.0,3.91
EUR/USD,Forex,1.1679,0.77,6,0.0,3.91
CHF/USD,Forex,0.7811,0.58,6,0.0,3.83
USD/CHF,Macro,0.7811,0.58,6,0.0,3.83
AUD/USD,Forex,0.7191,0.54,6,0.0,3.82
